Pid      Process              Base       InLoad InInit InMem MappedPath
     660 svchost.exe          0x00190000 False  False  False \Windows\System32\en-US\umpnpmgr.dll.mui
     660 svchost.exe          0x77070000 True   True   True  \Windows\System32\Wldap32.dll
     660 svchost.exe          0x76340000 True   True   True  \Windows\System32\sechost.dll
     660 svchost.exe          0x70e30000 True   True   True  \Windows\System32\ntdsapi.dll
     660 svchost.exe          0x74570000 True   True   True  \Windows\System32\wtsapi32.dll
     660 svchost.exe          0x74590000 True   True   True  \Windows\System32\rpcss.dll
     660 svchost.exe          0x76ba0000 True   True   True  \Windows\System32\setupapi.dll
     660 svchost.exe          0x76dc0000 True   True   True  \Windows\System32\ole32.dll
     660 svchost.exe          0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     660 svchost.exe          0x76a30000 True   True   True  \Windows\System32\usp10.dll
     660 svchost.exe          0x751d0000 True   True   True  \Windows\System32\cfgmgr32.dll
     660 svchost.exe          0x70be0000 True   True   True  \Windows\System32\wbem\wmiutils.dll
     660 svchost.exe          0x75370000 True   True   True  \Windows\System32\msctf.dll
     660 svchost.exe          0x745f0000 True   True   True  \Windows\System32\ntmarta.dll
     660 svchost.exe          0x70c00000 True   True   True  \Windows\System32\wbem\wbemsvc.dll
     660 svchost.exe          0x70f40000 True   True   True  \Windows\System32\wbem\WmiDcPrv.dll
     660 svchost.exe          0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     660 svchost.exe          0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     660 svchost.exe          0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     660 svchost.exe          0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     660 svchost.exe          0x76460000 True   True   True  \Windows\System32\nsi.dll
     660 svchost.exe          0x74690000 True   True   True  \Windows\System32\umpo.dll
     660 svchost.exe          0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     660 svchost.exe          0x76da0000 True   True   True  \Windows\System32\imm32.dll
     660 svchost.exe          0x770c0000 True   True   True  \Windows\System32\oleaut32.dll
     660 svchost.exe          0x746d0000 True   True   True  \Windows\System32\userenv.dll
     660 svchost.exe          0x750e0000 True   True   True  \Windows\System32\msasn1.dll
     660 svchost.exe          0x77060000 True   True   True  \Windows\System32\lpk.dll
     660 svchost.exe          0x746f0000 True   True   True  \Windows\System32\SPInf.dll
     660 svchost.exe          0x74710000 True   True   True  \Windows\System32\umpnpmgr.dll
     660 svchost.exe          0x75120000 True   True   True  \Windows\System32\devobj.dll
     660 svchost.exe          0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     660 svchost.exe          0x74f70000 True   True   True  \Windows\System32\apphelp.dll
     660 svchost.exe          0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     660 svchost.exe          0x74790000 True   True   True  \Windows\System32\credssp.dll
     660 svchost.exe          0x769a0000 True   True   True  \Windows\System32\clbcatq.dll
     660 svchost.exe          0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     660 svchost.exe          0x75200000 True   True   True  \Windows\System32\crypt32.dll
     660 svchost.exe          0x70e00000 True   True   True  \Windows\System32\wbem\wbemprox.dll
     660 svchost.exe          0x71130000 True   True   True  \Windows\System32\wbemcomn.dll
